actor,films_cnt,actors_cnt
Ivan Dobronravov,1,3
Ivan Lapikov,1,3
Ivana Baquero,1,3
Izabela Vidovic,1,3
J. Mackye Gruber,1,3
J.D. Cannon,1,3
J.K. Simmons,3,9
J.T. Walsh,1,3
JB Blanc,1,3
Jack Albertson,1,3
Jack Benny,1,3
Jack Carson,2,6
Jack Hawkins,4,11
Jack Kehoe,1,3
Jack Lemmon,5,14
Jack McBrayer,1,3
Jack Nicholson,6,18
Jack Oakie,1,3
Jack Reynor,1,3
Jack Thibeau,1,3
Jack Warden,3,9
Jacki Weaver,1,3
Jackie Coogan,1,3
Jackie Earle Haley,1,3
Jackie Gleason,1,3
Jacob Tremblay,2,6
Jacqueline Andere,1,3
Jacques Villeret,1,3
Jaden Smith,1,3
Jae Head,1,3
Jae-ho Song,1,3
Jake Gyllenhaal,7,21
Jake Johnson,1,3
James Booth,1,3
James Caan,3,9
James Cagney,1,3
James Coburn,2,6
James Cromwell,1,3
James Dean,3,9
James Doohan,1,3
James Earl Jones,1,3
James Fleet,1,3
James Garner,2,6
James Gleason,1,3
James Laurenson,1,3
James Marsden,2,6
James Mason,2,6
James McAvoy,4,12
James Rebhorn,2,6
James Remar,1,3
James Stewart,10,30
James Woods,2,5
Jamie Bell,1,3
Jamie Chung,1,3
Jamie Draven,1,3
Jamie Foxx,4,11
Jamie Lee Curtis,2,6
Jan Cornet,1,3
Jan Josef Liefers,1,3
Jan Pinkava,1,3
Jan Sterling,1,3
Jane Adams,1,3
